handle,displayName,followedByCount,orcid_to_verify,academicScore,bio
mmitchell.bsky.social,"Margaret Mitchell",19,,3,"Researcher trying to shape AI towards positive outcomes. ML & Ethics +birds. Generally trying to do the right thing. TIME 100 | TED speaker | Senate testimony provider | Navigating public life as a re"
markriedl.bsky.social,"Mark Riedl",19,,3,"AI for storytelling, games, explainability, safety, ethics. Professor at Georgia Tech. Associate Director of ML Center at GT. Time travel expert. Geek. Dad. he/him"
melaniemitchell.bsky.social,"Melanie Mitchell",19,,2,"Professor, Santa Fe Institute.  Research on AI, cognitive science, and complex systems.   Website: https://melaniemitchell.me  Substack: https://aiguide.substack.com/"
carlbergstrom.com,"Carl T. Bergstrom",16,,3,"Professor, UW Biology / Santa Fe Institute  I study how information flows in biology, science, and society.  Book: *Calling Bullshit*, http://tinyurl.com/fdcuvd7b  LLM course: https://thebullshitmachi"
randomwalker.bsky.social,"Arvind Narayanan",16,,3,"Princeton computer science prof. I write about the societal impact of AI, tech ethics, & social media platforms. https://www.cs.princeton.edu/~arvindn/  BOOK: AI Snake Oil. https://www.aisnakeoil.com/"
lucy3.bsky.social,"Lucy Li",16,,2,"Postdoc at UW NLP 🏔️. #NLProc, computational social science, cultural analytics, responsible AI. she/her. Previously at Berkeley, Ai2, MSR, Stanford. Incoming assistant prof at Wisconsin CS. lucy3.gi"
yoavartzi.com,"Yoav Artzi",14,,5,"LM/NLP/ML researcher  ¯\_(ツ)_/¯   yoavartzi.com / associate professor @ Cornell CS + Cornell Tech campus @ NYC / nlp.cornell.edu / associate faculty director @ arXiv.org / researcher @ ASAPP / startin"
beenwrekt.bsky.social,"Ben Recht",16,,0,"Blog: https://argmin.substack.com/ Webpage: https://people.eecs.berkeley.edu/~brecht/"
kylelo.bsky.social,"Kyle Lo",16,,0,"language model pretraining @ai2.bsky.social, co-lead of data research w/ @soldaini.net, statistics @uw, open science, tabletop, seattle, he/him,🧋 kyleclo.com"
meredithmeredith.bsky.social,"Meredith Whittaker ",15,,2,"President of Signal, Chief Advisor to AI Now Institute "
nsaphra.bsky.social,"Naomi Saphra",16,,0,"Waiting on a robot body. All opinions are universal and held by both employers and family. ML/NLP.  nsaphra.net"
karpathy.bsky.social,"karpathy",15,,1,"AI @ OpenAI, Tesla, Stanford"
haldaume3.bsky.social,"Hal Daumé III",14,,2,"Human-centered AI #HCAI, NLP & ML. Director TRAILS (Trustworthy AI in Law & Society) and AIM (AI Interdisciplinary Institute at Maryland). Formerly Microsoft Research NYC. Fun: 🧗🧑‍🍳🧘⛷️🏕️. he/him."
yoavgo.bsky.social,"Yoav Goldberg",15,,0,""
alondra.bsky.social,"Alondra Nelson",14,,2,"Scholar, author, policy advisor alondranelson.com  Science, Technology, and Social Values Lab  https://www.ias.edu/stsv-lab"
emilymbender.bsky.social,"Emily M. Bender",14,,1,"Book: https://thecon.ai  Web: https://faculty.washington.edu/ebender"
maosbot.bsky.social,"M A Osborne",13,,3,"Parent, spouse, Australian, Professor of Machine Learning in Oxford. Long Covid, trans rights, music, reggae on Fridays, AI must be good for humans, https://www.robots.ox.ac.uk/~mosb"
howard.fm,"Jeremy Howard ",14,,1,"https://Answer.AI & https://fast.ai founding CEO; previous: hon professor @ UQ; leader of masks4all; founding CEO Enlitic; founding president Kaggle; various other stuff…"
crystaljjlee.com,"Crystal Lee",14,,1,"Writing about tech, power, data visualization, social media, disability. Assistant prof of computational media @ MIT. 🇹🇼  crystaljjlee.com"
arnicas.bsky.social,"Lynn Cherny",14,,0,"Into creative ML/AI, NLP, data science and digital humanities, narrative, infovis, games, sf & f. Consultant, ds in Residence at Google Arts & Culture. (Lyon, FR) Newsletter arnicas.substack.com."
chrmanning.bsky.social,"Christopher Manning",13,,2,"Stanford Linguistics and Computer Science. Director, Stanford AI Lab. Founder of @stanfordnlp.bsky.social . #NLP https://nlp.stanford.edu/~manning/"
jacobeisenstein.bsky.social,"Jacob Eisenstein",14,,0,"natural language processing and computational linguistics at google deepmind."
davidpfau.com,"David Pfau",14,,0,"So far I have not found the science, but the numbers keep on circling me.  Views my own, unfortunately."
abeba.bsky.social,"Dr Abeba Birhane",12,,4,"Founder & PI @aial.ie. Assistant Professor of AI, School of Computer Science & Statistics, @tcddublin.bsky.social   AI accountability, AI audits & evaluation, critical data studies. Cognitive scientis"
aaronclauset.bsky.social,"Aaron Clauset",11,,6,"NO KINGS. NO FASCISTS. FUND SCIENCE.  Professor of Computer Science @ BioFrontiers Institute at University of Colorado, Boulder and External Faculty @ Santa Fe Institute  orcid: https://orcid.org/0000"
grimalkina.bsky.social,"Cat Hicks",13,,1,"Psychologist for the humans of tech. Author of The Psychology of Software Teams (2026). Founder: Catharsis Consulting (strategy * science). she/her 🏳️‍🌈 https://www.catharsisinsight.com/  Host at: h"
eryk.bsky.social,"Eryk Salvaggio",12,,3,"Situationist Cybernetics. Gates Scholar researching AI’s impacts on the Humanities at the University of Cambridge. Affiliate, Machine Visual Culture Research Group (Max Planck Institute, Rome). Aim to"
axz.bsky.social,"Amy Zhang",13,,1,"Associate professor of social computing at UW CSE, leading @socialfutureslab.bsky.social  social.cs.washington.edu"
srushnlp.bsky.social,"Sasha Rush",13,,1,"Professor, Programmer in NYC.   Cornell, Hugging Face 🤗"
sayash.bsky.social,"Sayash Kapoor",13,,1,"CS PhD candidate at Princeton. I study the societal impact of AI.  Website: cs.princeton.edu/~sayashk  Book/Substack: aisnakeoil.com"
jonathancheng.bsky.social,"Jonathan Cheng",12,,3,"English PhD turned Machine Learning Researcher. I medicate my imposter syndrome with cold brews.  Current:  Foundation Models @ Apple  Prev:  LLMs/World Models @ Riot Games RecSys @ Apple  Seattle 🏳️"
lampinen.bsky.social,"Andrew Lampinen",12,,3,"Interested in cognition and artificial intelligence. Research Scientist at Google DeepMind. Previously cognitive science at Stanford. Posts are mine. lampinen.github.io"
mjcrockett.bsky.social,"M.J. Crockett",12,,3,"Professor of Psychology & Human Values at Princeton | Cognitive scientist curious about technology, narratives, & epistemic (in)justice | They/She 🏳️‍🌈 www.crockettlab.org"
mellymeldubs.bsky.social,"Melanie Walsh",12,,3,"Assistant Professor @ University of Washington, Information School. PhD in English from WashU in St. Louis.   I’m interested in books, data, social media, & digital humanities.   They call me ""Eyre Jo"
jay.bsky.team,"Jay 🦋",13,,0,"CEO of Bluesky, steward of AT Protocol.   dec/acc 🌱 🪴 🌳"
jmendelsohn2.bsky.social,"Julia Mendelsohn",11,,4,"Asst Prof @UMD Info College. NLP, computational social science, political communication, linguistics. Past: Data Science Postdoc @UChicago, Info PhD @UMich, CS + Lx @Stanford. Interests: cats, Yiddish"
zephoria.bsky.social,"danah boyd",12,,2,"STS researcher who likes to look at things sideways. Founded Data & Society.  Topics: Census | Youth | Data | Society  Professor of Communication, Cornell  https://made-not-found-by-danah-boyd.ghost.i"
chenhaotan.bsky.social,"",12,,2,"Associate professor at the University of Chicago. Working on human-centered AI, NLP, CSS. https://chenhaot.com, https://substack.com/@cichicago"
wattenberg.bsky.social,"Martin Wattenberg",12,,2,"Human/AI interaction. ML interpretability. Visualization as design, science, art. Professor at Harvard, and part-time at Google DeepMind."
dasmiq.bsky.social,"David Smith",11,,4,"Associate professor of computer science at Northeastern University. Natural language processing, digital humanities, OCR, computational bibliography, and computational social sciences. Artificial inte"
simonwillison.net,"Simon Willison",12,,2,"Independent AI researcher, creator of datasette.io and llm.datasette.io, building open source tools for data journalism, writing about a lot of stuff at https://simonwillison.net/"
thomwolf.bsky.social,"Thomas Wolf",13,,0,"Co-founder @huggingface"
emollick.bsky.social,"Ethan Mollick",12,,2,"Professor at Wharton, studying AI and its implications for education, entrepreneurship, and work. Author of Co-Intelligence. Book: https://a.co/d/bC2kSj1 Substack: https://www.oneusefulthing.org/ Web:"
