bluesky_handle,orcid_id
carlbergstrom.com,0000-0002-2070-385X
yoavartzi.com,0000-0002-4605-6144
meredithmeredith.bsky.social,0009-0006-8618-0525
nsaphra.bsky.social,0000-0001-8607-3515
yoavgo.bsky.social,0000-0002-6497-829X
alondra.bsky.social,0000-0003-0383-1806
emilymbender.bsky.social,0000-0001-5384-6227
jacobeisenstein.bsky.social,0000-0002-5001-6487
aaronclauset.bsky.social,0000-0002-3529-8746
eryk.bsky.social,0000-0002-9103-3734
sayash.bsky.social,0000-0001-5695-280X
lampinen.bsky.social,0000-0002-6988-8437
jmendelsohn2.bsky.social,0000-0002-8584-2578
zephoria.bsky.social,0000-0002-7722-7778
wattenberg.bsky.social,0000-0003-0904-4862
emollick.bsky.social,0000-0001-6231-496X
zacharylipton.bsky.social,0000-0002-3824-4241
hannawallach.bsky.social,0000-0003-3395-7186
valentinapy.bsky.social,0000-0002-0685-7086
neuralnoise.com,0000-0002-8442-602X
msalganik.bsky.social,0000-0001-8968-1356
dallascard.bsky.social,0000-0001-5573-8836
tdietterich.bsky.social,0000-0002-8223-8586
chrisbrockett.bsky.social,0009-0002-8856-2472
kjhealy.co,0000-0001-9114-981X
gligoric.bsky.social,0000-0001-8726-740X
danielvanstrien.bsky.social,0000-0003-1684-6556
neuroai.bsky.social,0000-0003-0830-3973
raphaelmilliere.com,0000-0001-6965-6073
psmaldino.bsky.social,0000-0002-7133-5620
rajammanabrolu.bsky.social,0000-0003-1950-0454
katestarbird.bsky.social,0000-0003-1661-4608
foucaultwelles.bsky.social,0000-0002-4155-8815
caseynewton.bsky.social,0000-0001-9055-8718
strubell.bsky.social,0000-0003-2798-0726
jeffdean.bsky.social,0009-0002-1395-843X
lasha.bsky.social,0009-0001-4947-8473
ccanonne.github.io,0000-0001-7153-5211
egrefen.bsky.social,0000-0003-1164-8809
milesbrundage.bsky.social,0000-0003-4429-1973
nickseaver.website,0000-0002-3913-1134
merbroussard.bsky.social,0000-0001-5364-0130
pfrazee.com,0009-0005-6762-4357
kris-inwood.bsky.social,0000-0002-3533-7047
ruha9.bsky.social,0000-0002-7112-476X
rezapour.bsky.social,0000-0001-8185-4785
shaynelongpre.bsky.social,0000-0002-4364-4223
bayesianboy.bsky.social,0000-0002-0042-5098
emmaspiro.bsky.social,0000-0002-6792-3390
dfreelon.bsky.social,0000-0001-5055-0316
davidlazer.bsky.social,0000-0002-7991-9110
mpshanahan.bsky.social,0000-0001-5984-2964
jessicahullman.bsky.social,0000-0001-6826-3550
shannonvallor.bsky.social,0000-0001-7036-5222
dbamman.bsky.social,0009-0003-1171-9408
allisonkoe.bsky.social,0000-0002-6233-8256
ryancordell.org,0000-0002-4345-0533
jeffreybigham.com,0000-0002-2072-0625
